,text,labels
0,Marco Rubio makes a wrong turn on climate change,"[0, 0, 1]"
1,JK Rowling's publishers feuding with amazon over e book prices,"[1, 0, 0]"
2,"Over 3 hours of Watch Dogs gameplay footage right here, including some brand  ...","[0, 0, 1]"
3,"Easton air quality among worst in nation, study finds","[0, 0, 1]"
4,Microsoft Plans To Close Nokia Acquisition On Friday,"[0, 0, 1]"
5,Priceline Group Acquires OpenTable for $2.6 Billion,"[1, 0, 0]"
6,"Zac Efron ""Flips"" For Italian Businessman Gianluca Vacchi, Kisses Michelle  ...","[0, 1, 0]"
7,Councilman Lander Pushing Bill To Require 10-Cents Fee On Plastic Bag,"[1, 0, 0]"
8,Americans are increasingly without health insurance,"[1, 0, 0]"
9,Driverless cars trials in UK to start by early 2015,"[0, 0, 1]"
10,Real Estate > Zillow mortgage marketplace 30 year loan hits 6 week low,"[1, 0, 0]"
11,"Sinead O'Connor announces new album - also, she looks like this now","[0, 1, 0]"
12,Orbital Sciences in $5 Billion Merger Deal with ATK Unit,"[1, 0, 0]"
13,S&P 500 tops 1900 for the first time,"[1, 0, 0]"
14,Full lunar eclipse 'Blood Moon' delights with clear skies,"[0, 0, 1]"
15,Siemens set to confirm Alstom bid Tuesday,"[1, 0, 0]"
16,Google Inc (GOOGL) acquires restaurant website builder Appetas,"[0, 0, 1]"
17,Watch a New X-Men: Days of Future Past Trailer,"[0, 1, 0]"
18,Motorola Moto G vs. Samsung Galaxy Grand Neo : Which one is your favourite ?,"[0, 0, 1]"
19,One-third of Americans are drowning in debt,"[1, 0, 0]"
20,NLRB Rules Vs. McDonald's,"[1, 0, 0]"
21,TweetDeck shut down by Twitter after same message gets retweeted thousands  ...,"[0, 0, 1]"
22,"'Heartbleed' bug could badly hit internet, mobile services","[0, 0, 1]"
23,The Duchess of Cambridge at Wimbledon on July 2,"[0, 1, 0]"
24,US leads protest at UN on Russian move in Ukraine,"[0, 1, 0]"
25,US 'not prepared' for climate change,"[0, 0, 1]"
26,UPDATE 1-Symantec CEO ouster raises questions about turnaround,"[1, 0, 0]"
27,Microsoft opening store at Maine Mall Saturday,"[0, 0, 1]"
28,"NYMEX-US crude dips on China data, supply concerns cap fall","[1, 0, 0]"
29,Illinois Attorney General Sues Companies Offering Student Loan Relief,"[1, 0, 0]"
30,Google Inc (GOOG) news: Google Glass Just Got More Attractive,"[0, 0, 1]"
31,"Garth Ancier, David Neuman And Gary Goddard Accused Of Sexual Abuse In  ...","[0, 1, 0]"
32,Singin' in the rain forest,"[0, 1, 0]"
33,Younger Customers Are Keeping Haute Couture Alive: Report,"[0, 1, 0]"
34,Copper Slumps Again on Worries Over China's Economy,"[1, 0, 0]"
35,Obama's trading of five Taliban leaders was wrong,"[0, 1, 0]"
36,"2015 Corvette Z06 Convertible The First Since 1963, Release Date May Be In  ...","[0, 0, 1]"
37,"Android 4.4.3 spotted in the wild, coming soon to fix battery draining camera bug","[0, 0, 1]"
38,"Deep-sea ""Octomom"" guards eggs for record length of time","[0, 0, 1]"
39,Oil and Natural Gas as Weapon of War,"[1, 0, 0]"
40,Mad Men: Is Joan Finally Moving Into an Account Manager Role?,"[0, 1, 0]"
41,“Peanuts” iconic comics animated 3D adaptation trailer,"[0, 1, 0]"
42,Carmack: Sony Faces Uphill Battle with VR on the PS4,"[0, 0, 1]"
43,IMF boss Christine Lagarde put under investigation in French fraud case,"[1, 0, 0]"
44,"Obamacare is alive and well, and surpassing goals","[1, 0, 0]"
45,Galaxy S5 vs iPhone 5s - specs comparison,"[0, 0, 1]"
46,"Zynga finally goes mobile with ""FarmVille 2: Country Escape""","[0, 0, 1]"
47,Rosetta identifies five possible landing sites for Philae,"[0, 0, 1]"
48,Google Shopping Launches Same-Day Delivery In NYC and L.A.--And It's Free  ...,"[0, 0, 1]"
49,"Why Bitcoin Can No Longer Work as a Virtual Currency, in 1 Paragraph","[1, 0, 0]"
50,Samsung turns to Google in patent fight against Apple,"[0, 0, 1]"
51,"Angelina Jolie on political ambition: ""If I thought I'd be effective, I would""","[0, 1, 0]"
52,Is This the First Official Shot of the HTC One Mini 2?,"[0, 0, 1]"
53,The effect of net neutrality rules on consumers,"[0, 0, 1]"
54,US Manufacturing Makes Gains On The Competition,"[1, 0, 0]"
55,Google concedes in diversity data that employees mainly male and white,"[0, 0, 1]"
56,"US economy: Private sector adds 220000 jobs in April, payrolls tracker says","[1, 0, 0]"
57,The Magic School Bus to return for new series on Netflix,"[0, 1, 0]"
58,Free speech and civil behavior,"[0, 0, 1]"
59,"EBay, Carl Icahn reach truce","[1, 0, 0]"
60,FUMC Gilmer Celebrates “A Journey to the Cross”,"[0, 1, 0]"
61,The 20 Best Twitter Reactions To Lindsay Lohan's Reality Show Debut,"[0, 1, 0]"
62,"NYMEX crude prices dip in Asia, Iraq in focus, API data awaited","[1, 0, 0]"
63,HTC M8 Ace Launch Date Rumored for June 3,"[0, 0, 1]"
64,"Clean up Detroit's blight? You'll need $2B, report says","[1, 0, 0]"
65,Heartbleed: what you need to know and do,"[0, 0, 1]"
66,All-New Ram ProMaster City Van Breaks Cover [Video] [Photo Gallery],"[0, 0, 1]"
67,China economic growth slows to 7.4pc in first quarter,"[1, 0, 0]"
68,New posthumous Michael Jackson album slated for May,"[0, 1, 0]"
69,Rare trio of supermassive black holes found,"[0, 0, 1]"
70,Want to See the Hottest Spot in Town? Visit Enceladus Sulci!,"[0, 0, 1]"
71,"Boos, bad reviews at Cannes for Atom Egoyan's new film","[0, 1, 0]"
72,"Peter Gabriel, Kiss lead new class into Rock Hall","[0, 1, 0]"
73,Japan expresses concern to China over ship seizure -Kyodo,"[1, 0, 0]"
74,"NetApp, Microsoft Go in Together on Hybrid Cloud Connector","[0, 0, 1]"
75,#GoogleIO2014: Working to bring low-cost phones to India by September  ...,"[0, 0, 1]"
76,Watch - MALEFICENT: THE LEGACY Featurette,"[0, 1, 0]"
77,Apple will livestream WWDC keynote to Macs and iOS devices,"[0, 0, 1]"
78,iOS 8 post-launch first impressions,"[0, 0, 1]"
79,Carabiner eyed in US circus accident,"[0, 1, 0]"
80,Coca-Cola shareholder claims execs will be overpaid through equity plan,"[1, 0, 0]"
81,"Climate change boosts conflict risk, floods, hunger","[0, 0, 1]"
82,Angelina Jolie: I Never Thought I Would Meet the Right Person,"[0, 1, 0]"
83,Sony PlayStation 4 passes another 7 million mark,"[0, 0, 1]"
84,"Video: Meet the Moto E, Official Video Unveils Motorola's New Phone (Updated)","[0, 0, 1]"
85,Robin Roberts Set To Be Guest Judge On 'Dancing With the Stars',"[0, 1, 0]"
86,Nadella: Bing and Xbox not for sale,"[0, 0, 1]"
87,The HTC One M8 improves an already solid (metal) phone,"[0, 0, 1]"
88,Google Glass Robbers Target Venice Man,"[0, 0, 1]"
